Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
1	dns_002_1812_007_109_138_e457	; und durch Hülfe derselben fünfmal das Flußbett der Lanquart	durchschnitten	, ste iu ihrem Lauf abge¬ sperrt , « m	;_$. und_KON durch_APPR Hülfe_NN derselben_PDAT fünfmal_ADV das_ART Flußbett_NN der_ART Lanquart_NN	durchschnitten_VVPP	,_$, ste_VVFIN iu_NE ihrem_PPOSAT Lauf_NN abge¬_ADJD sperrt_VVFIN ,_$, «_$( m_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=0	217429	217429
2	dns_002_1806_002_487_558_e643	des Tiefentobels , ist dasselbe von unregelmäßigen Gängen und Trümmern	durchschnitten	, die im ganzen genom- men gleiche Richtungs- und Fallungslinie	des_ART Tiefentobels_NN ,_$, ist_VAFIN dasselbe_PDS von_APPR unregelmäßigen_ADJA Gängen_NN und_KON Trümmern_NN	durchschnitten_VVPP	,_$, die_PRELS im_APPRART ganzen_ADJA genom-_ADJA men_ADJA gleiche_ADJA Richtungs-_TRUNC und_KON Fallungslinie_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=1	325916	325916
3	dns_002_1806_002_487_558_e643	Stelle des Tiefentobels , wo dieses Erzführende Lager von jenem	durchschnitten	wird , ist ein alter Stollen auf dasselbige getrieben ,	Stelle_NN des_ART Tiefentobels_NN ,_$, wo_PWAV dieses_PDAT Erzführende_NN Lager_NN von_APPR jenem_PDAT	durchschnitten_VVPP	wird_VAFIN ,_$, ist_VAFIN ein_ART alter_ADJA Stollen_NN auf_APPR dasselbige_NN getrieben_VVPP ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=2	326235	326235
4	skz_001_1847_016_226_233_e396	dunkle Nacht , die von den Feuerfunken der Eisenbahn bisweilen	durchschnitten	wurde ; ein unwillkührlichcs Stillschweigen bewältigte die ganze Menge ,	dunkle_ADJA Nacht_NN ,_$, die_PRELS von_APPR den_ART Feuerfunken_NN der_ART Eisenbahn_NN bisweilen_ADV	durchschnitten_VVPP	wurde_VAFIN ;_$. ein_ART unwillkührlichcs_ADJA Stillschweigen_NN bewältigte_VVFIN die_ART ganze_ADJA Menge_NN ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=3	374155	374155
5	skz_002_1851_003_308_315_e351	vereinigt . Keine Aufregung war sichtbar , keine wilden Cheers	durchschnitten	die Luft , kein rhetorisches Ge- pränge unerquicklich wie Wüstensand	vereinigt_VVPP ._$. Keine_PIAT Aufregung_NN war_VAFIN sichtbar_ADJD ,_$, keine_PIAT wilden_ADJA Cheers_NN	durchschnitten_VVFIN	die_ART Luft_NN ,_$, kein_PIAT rhetorisches_ADJA Ge-_TRUNC pränge_NN unerquicklich_ADJD wie_KOKOM Wüstensand_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=4	1453641	1453641
6	ass_001_1841_007_39_77_e593	Geraden âll und El ) von der Linie E ?	durchschnitten	; so fragt es sich : wie die übereinstimmenden W.	Geraden_NN âll_NE und_KON El_NE )_$( von_APPR der_ART Linie_NN E_NN ?_$.	durchschnitten_VVPP	;_$. so_ADV fragt_VVFIN es_PPER sich_PRF :_$. wie_KOUS die_ART übereinstimmenden_NN W._NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=5	1993957	1993957
7	ass_001_1841_007_39_77_e593	Es seien umgekehrt die Geraden und EO 46 von EE	durchschnitten	, und es sei IN - II , oder u	Es_NN seien_VAFIN umgekehrt_ADJD die_ART Geraden_NN und_KON EO_NE 46_CARD von_APPR EE_ADJD	durchschnitten_VVPP	,_$, und_KON es_PPER sei_VAFIN IN_NE -_$( II_NE ,_$, oder_KON u_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=6	1994211	1994211
8	ass_001_1841_007_39_77_e593	) s. Werden zwei gleichlaufende Gerade von einer dritten Linie	durchschnitten	: so sind die über¬ einstimmenden W. einander gleich ,	)_$( s._ADV Werden_VAFIN zwei_CARD gleichlaufende_ADJA Gerade_NN von_APPR einer_ART dritten_ADJA Linie_NN	durchschnitten_VVPP	:_$. so_ADV sind_VAFIN die_ART über¬_ADJA einstimmenden_ADJA W._NE einander_PRF gleich_ADJD ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=7	1994473	1994473
9	bmb_001_1865_016_84_91_e289	wo das neue einjährige und das alte Holz sich scheidet	durchschnitten	und so eingesetzt . Es bildet sich hart um den	wo_PWAV das_ART neue_ADJA einjährige_ADJA und_KON das_ART alte_ADJA Holz_NN sich_PRF scheidet_VVFIN	durchschnitten_VVPP	und_KON so_ADV eingesetzt_VVPP ._$. Es_PPER bildet_VVFIN sich_PRF hart_ADJD um_APPR den_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=8	3009868	3009868
10	bmb_001_1865_016_84_91_e289	und unten getrennt wird , mit einem scharfen Messer quer	durchschnitten	und auf eine Länge von zirka 1/ mit 4—5 Augen	und_KON unten_ADV getrennt_VVPP wird_VAFIN ,_$, mit_APPR einem_ART scharfen_ADJA Messer_NN quer_ADJD	durchschnitten_VVPP	und_KON auf_APPR eine_ART Länge_NN von_APPR zirka_ADV 1/_CARD mit_APPR 4—5_ADJA Augen_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=9	3010002	3010002
